Filter Size,Logged,Missed,Total
1,109790,1234459,1344249
2,247820,1096429,1344249
3,297468,1046781,1344249
4,335951,1008298,1344249
5,550925,793324,1344249
6,840467,503782,1344249
7,1091551,252698,1344249
8,1225705,118544,1344249
9,1280902,63347,1344249
10,1299313,44936,1344249
11,1315244,29005,1344249
12,1329933,14316,1344249
13,1337760,6489,1344249
14,1341076,3173,1344249
15,1342138,2111,1344249
16,1336120,8129,1344249
17,1335895,8354,1344249
18,1335787,8462,1344249
19,1335673,8576,1344249
20,1335515,8734,1344249
21,1334648,9601,1344249
22,1330552,13697,1344249
23,1327397,16852,1344249
24,1326454,17795,1344249
25,1334045,10204,1344249
26,1332477,11772,1344249
27,1330747,13502,1344249
28,1330342,13907,1344249
29,1334991,9258,1344249
30,1341054,3195,1344249
31,1343376,873,1344249
32,1344249,0,1344249
33,1344249,0,1344249
