CAN ID,Total,,500 us Task Period,,,,1000 us Task Period,,,,2000 us Task Period,,,,RD 1,
,,,,,,,Logged,Missed,,,,,,,(logs),
0x187,45107,,45099,8,99.982%,,45090,17,99.962%,,44875,232,99.486%,,41178,91.29%
0x188,45111,,44409,702,98.444%,,44038,1073,97.621%,,44488,623,98.619%,,38738,85.87%
0x189,45110,,45069,41,99.909%,,45073,37,99.918%,,44979,131,99.710%,,41442,91.87%
0x18A,45111,,44383,728,98.386%,,44238,873,98.065%,,44596,515,98.858%,,41887,92.85%
0x18B,45111,,45069,42,99.907%,,45068,43,99.905%,,44936,175,99.612%,,40011,88.69%
0x18C,45111,,44332,779,98.273%,,43847,1264,97.198%,,44295,816,98.191%,,37954,84.13%
0x18D,45109,,45079,30,99.933%,,45077,32,99.929%,,44962,147,99.674%,,38653,85.69%
0x18E,45111,,44358,753,98.331%,,44367,744,98.351%,,44016,1095,97.573%,,39273,87.06%
0x207,45107,,45105,2,99.996%,,45098,9,99.980%,,44905,202,99.552%,,38858,86.15%
0x209,45110,,45068,42,99.907%,,45069,41,99.909%,,44968,142,99.685%,,41574,92.16%
0x20B,45111,,45102,9,99.980%,,45094,17,99.962%,,44871,240,99.468%,,41078,91.06%
0x20D,45109,,45103,6,99.987%,,44904,205,99.546%,,44110,999,97.785%,,40332,89.41%
0x287,45107,,45106,1,99.998%,,45053,54,99.880%,,44856,251,99.444%,,40749,90.34%
0x289,45110,,45108,2,99.996%,,45027,83,99.816%,,44847,263,99.417%,,41172,91.27%
0x28B,45111,,45090,21,99.953%,,45017,94,99.792%,,44745,366,99.189%,,41575,92.16%
0x28D,45109,,45003,106,99.765%,,44932,177,99.608%,,44481,628,98.608%,,41564,92.14%
0x307,45107,,45104,3,99.993%,,45091,16,99.965%,,44675,432,99.042%,,39491,87.55%
0x309,45110,,45104,6,99.987%,,45083,27,99.940%,,44722,388,99.140%,,36911,81.82%
0x30B,45111,,45097,14,99.969%,,45090,21,99.953%,,44919,192,99.574%,,37032,82.09%
0x30D,45109,,45096,13,99.971%,,45086,23,99.949%,,44923,186,99.588%,,37569,83.28%
0x385,45111,,44612,499,98.894%,,44509,602,98.666%,,44531,580,98.714%,,36647,81.24%
0x387,45107,,45104,3,99.993%,,45104,3,99.993%,,44881,226,99.499%,,39684,87.98%
0x389,45110,,45102,8,99.982%,,45102,8,99.982%,,44857,253,99.439%,,41572,92.16%
0x38B,45111,,45109,2,99.996%,,45106,5,99.989%,,44921,190,99.579%,,41846,92.76%
0x38D,45109,,45108,1,99.998%,,45107,2,99.996%,,44965,144,99.681%,,41464,91.92%
0x407,45107,,45105,2,99.996%,,45101,6,99.987%,,44975,132,99.707%,,39284,87.09%
0x409,45110,,45103,7,99.984%,,45101,9,99.980%,,44970,140,99.690%,,38438,85.21%
0x40B,45111,,45109,2,99.996%,,45108,3,99.993%,,44961,150,99.667%,,39377,87.29%
0x40D,45109,,45107,2,99.996%,,45105,4,99.991%,,44977,132,99.707%,,39898,88.45%
0x707,9018,,9018,0,100.000%,,9018,0,100.000%,,9018,0,100.000%,,8051,89.28%
0x709,9018,,9018,0,100.000%,,9018,0,100.000%,,9018,0,100.000%,,8083,89.63%
0x70B,9018,,9018,0,100.000%,,9018,0,100.000%,,9018,0,100.000%,,7855,87.10%
0x70D,9018,,9018,0,100.000%,,9018,0,100.000%,,9018,0,100.000%,,7959,88.26%
,,,,,,,,,,,,,,,,
,1344249,,1340415,3834,99.715%,,1338757,5492,99.591%,,1334279,9970,99.258%,,1187199,88.317%
